"group","gender","specialization","resc_ranger_ch","resc_ranger_now","dale","chip","monty","gadget","zipper"
"192","female","analysis","Chip","Chip",60,100,20,60,80
"192","female","management","Gadget","Gadget",90,100,50,60,90
"192","female","management","Gadget","Chip",75,90,100,95,87
"194","male","management","Dale","Dale",0,101,77,89,78.7
"192","female","analysis","Chip","Chip",40,90,80,70,20
"192","female","analysis","Gadget","Gadget",50,60,40,90,60
"194","male","management","Chip","Dale",100,50,40,50,80
"193","male","management","Dale","Gadget",50,100,0,40,60
"191","male","management","Other","Chip",75,60,85,70,80
"194","female","management","Gadget","Monty",95,54,100,75,89
"192","female","management","Dale","Chip",50,90,100,50,70
"194","male","management","Dale","Dale",0,101,77,89,78.7
"191","female","management","Chip","Chip",50,70,25,35,60
"193","male","management","Dale","Dale",75,50,100,0,0
"193","female","management","Other","Other",50,50,20,10,0
"192","female","analysis","Gadget","Chip",76,97,90,40,70
"191","female","management","Gadget","Gadget",70,5,80,65,75
"191","female","analysis","Gadget","Zipper",97,87,98,2,69
"194","male","management","Gadget","Dale",20,75,65,40,35
"191","female","management","Gadget","Other",80,80,100,0,70
"193","female","management","Monty","Monty",75,40,50,50,0
"191","female","management","Chip","Zipper",95,60,80,10,70
"193","female","analysis","Chip","Other",60,10,99,60,70
"191","male","analysis","Dale","Chip",70,45,99,75,65
"191","female","management","Gadget","Dale",70,90,100,50,60
"193","male","analysis","Gadget","Gadget",0,100,100,100,40
"192","female","management","Gadget","Gadget",80,60,100,0,75
"191","male","analysis","Dale","Chip",75,60,90,70,78
"194","female","management","Gadget","Gadget",80,60,50,90,20
"191","male","analysis","Gadget","Chip",90,100,60,100,30
"195","male","management","Zipper","Zipper",40,60,50,10,20
"195","male","management","Monty","Chip",40,50,100,80,100
"195","male","management","Dale","Dale",65,40,50,10,70
"193","male","management","Chip","Chip",80,101,50,25,75
"195","male","analysis","Gadget","Chip",70,100,100,100,95
"193","male","management","Dale","Chip",75,100,100,80,65
"195","male","management","Other","Other",100,40,40,100,100
"191","male","management","Chip","Dale",70,70,100,50,70
"191","male","analysis","Monty","Monty",90,20,50,0,99
"195","female","analysis","Zipper","Gadget",40,100,30,60,86
"193","female","analysis","Chip","Gadget",25,90,0,80,60
"194","female","management","Gadget","Gadget",40,80,70,50,10
"194","male","management","Chip","Monty",95,100,100,65,30
"194","female","analysis","Chip","Gadget",20,62,30,73,79
"194","female","analysis","Gadget","Dale",50,50,70,10,5
"194","female","analysis","Gadget","Dale",100,74,100,44,76
"194","male","management","Monty","Chip",70,80,100,70,50
"191","female","management","Gadget","Other",80,80,100,0,70
"193","female","analysis","Gadget","Gadget",50,50,60,60,60
"191","female","management","Gadget","Gadget",70,5,80,65,75
"195","male","management","Zipper","Zipper",40,60,50,10,20
"192","female","analysis","Chip","Monty",75,100,60,60,70
"192","male","management","Chip","Dale",40,60,70,65,65
"192","female","management","Gadget","Monty",60,50,70,40,50
"192","female","management","Gadget","Gadget",50,65,100,10,75
"192","female","analysis","Gadget","Chip",75,10,100,50,70
"prepod","female","analysis","Gadget","Chip",60,90,90,60,40
"prepod","female","analysis","Gadget","Chip",50,100,70,98,86
"192","male","management","Gadget","Gadget",100,40,20,100,70
"192","male","analysis","Monty","Chip",30,60,40,20,40
"192","male","analysis","Monty","Chip",22,87,95,5,1
"191","male","management","Dale","Chip",90,40,10,5,70
"192","female","management","Chip","Monty",50,50,99,60,60
"191","female","management","Gadget","Gadget",20,70,100,70,80
"194","male","management","Chip","Chip",40,70,70,35,88
"195","female","management","Gadget","Dale",100,80,60,25,55
"195","female","management","Other","Other",70,45,30,60,80
"193","male","analysis","Dale","Dale",100,50,75,20,2
"193","male","analysis","Zipper","Zipper",20,47,23,7,68
"195","female","management","Gadget","Dale",100,9.99,40,70,80
"193","male","analysis","Chip","Dale",0.01,1000,50,20,0
"193","female","analysis","Gadget","Gadget",60,50,100,90,90
"194","female","management","Chip","Chip",48,99.9,101,21,83
"193","female","analysis","Dale","Gadget",60,50,50,10,10
